name,cause of death,born,died,comments
Vilmos Zsigmond (cinematographer),,June 16 1930,"January 1, 2016","Won a Best Cinematography Oscar for Close Encounters of the Third Kind, went on to photograph movies like The Deer Hunter and The River.  Home Page  twitter  IMDb  Obituary"
"Pat Harrington, Jr. (actor/writer)",Alzheimer's. ,"August 13, 1929","January 6, 2016","Many bit parts on TV, mostly known as Schneider the apartment super in One Day at a Time, toured with a number of Broadway shows.  twitter  IBDB  IMDb  Obituary"
Richard Libertini (actor),Cancer. ,"May 21, 1933","January 7, 2016","Bit parts in dozens of movies, Father Drobney in Don't Drink the Water, Sidney in Awakenings and many TV shows; ex-husband of Melinda Dillon.  twitter  IBDB  IMDb  Obituary"
David Bowie (singer/songwriter/actor),Cancer. ,"Jauary 8, 1947","January 10, 2016","Talented singer/songwriter (""Space Oddity,"" ""Fame,"" ""Life on Mars"" and ""Young Americans"") who also acted in movies like Merry Christmas Mr. Lawrence and The Man Who Fell to Earth, stylish trendsetter, father of director Duncan Jones, invented ""Bowie bonds"" which let people buy bonds against future intellectual property royalties, published his list of 100 favorite books in late 2013, released Lazarus two days before he died of cancer.  twitter  IBDB  IMDb  Obituary"
Brian Bedford (actor/director),Cancer. ,"February 16, 1935","January 14, 2016","Nominated for 7 Tony Awards, won once (School for Wives), bit parts on TV & in the movies, probably most memorably as the Fox in the Disney animated feature of Robin Hood back in the '70s.  Home Page  twitter  IBDB  IMDb  Obituary"
Alan Rickman (actor/director),Cancer. ,"February 21, 1946","January 14, 2016","Great British actor - Sense and Sensibility, Truly, Madly, Deeply, first introduced to Americans as Hans in Die Hard and millenials probably know him best as Snape in the Harry Potter movies.  Home Page  twitter  IBDB  IMDb  Obituary"
Dan Haggerty (actor),Cancer. ,"November 19, 1941","January 15, 2016","Grizzly Adams, had 18 operations between 1994 and 1997 after a motorcycle accident.  twitter  IMDb  Obituary"
Noreen Corcoran (actress),,"October 20, 1943","January 15, 2016","Kelly in Bachelor Father, showed up in some teenager movies in the '60s before retiring, older sister of Kevin Corcoran.  twitter  IMDb  Obituary"
Glenn Frey (singer/songwriter/guitarist),Ulcerative colitis/pneumonia. ,"Noveber 6, 1948","January 18, 2016","Co-founded the Eagles, co-wrote ""Hotel California"" and ""Desperado.""  Home Page  twitter  IMDb  Obituary"
David G. Hartwell (editor/critic),Brain bleed following a fall. ,"July 10, 1941","January 20, 2016","Senior editor at Tor, editor of many ""Best of"" books (many with Kathryn Cramer) and The Ascent of Wonder, won two Hugo Awards for editing, a founder of the World Fantasy Convention, editor of The New York Review of SF, memorable dresser, make memorial contributions to the Elizabethtown Community Hospital.  Dead People Server Photo Gallery  Home Page  twitter  IMDb  Obituary"
Marvin Minsky (computer theorist/writer),Cerebral hemorrhage. ,"August 9, 1927","January 24, 2016","Co-founded the MIT Artificial Intelligence Lab in 1959 with John McCarthy, winner of the Turing Prize, taught computer science for many years, wrote The Society of the Mind.  Home Page  twitter  IMDb  Obituary"
Abe Vigoda (actor),[Rumor] Old age. ,"February 24, 1921","January 26, 2016","Fish on Barney Miller, rumored as dead for the first time by People Magazine in the early '80s.  Home Page  twitter  IBDB  IMDb  Obituary"
Bob Elliott (comic),,"March 26, 1923","February 2, 2016","Bob and Ray, Chris Elliott's dad, Abby Elliott's grandfather.  Home Page  twitter  IBDB  IMDb  Obituary"
Umberto Eco (writer/professor),,"January 5, 1932","February 19, 2016","The Name of the Rose, Foucault's Pendulum, semiotics scholar.  Home Page  twitter  IMDb  Obituary"
Harper Lee (writer),,"April 28, 1926","February 19, 2016","Wrote one of the great books of the 20th century, To Kill a Mockingbird (Truman Capote was her childhood friend and inspired Dill), later published an earlier version of Mockingbird Go Set a Watchman.  Home Page  twitter  IMDb  Obituary"
George Kennedy (actor),,"February 18, 1925","February 28, 2016","Won a Best Supporting Actor Oscar for Cool Hand Luke later co-starred in the Naked Gun movies, appeared on the Oscar Reunion segment in 1998.  IMDb  Obituary  FindAGrave"
Pat Conroy (writer),Pancreatic cancer. ,"October 26, 1945","March 4, 2016",Wrote The Prince of Tides and The Great Santini.  Home Page  twitter  IMDb  Obituary
Nancy Reagan (former first lady/actress),Congestive heart failure. ,"July 6, 1921","March 6, 2016",First Lady for most of the '80s.  Home Page  Home Page  twitter  IMDb  Obituary  FindAGrave
Sir George Martin (record producer extraordinaire),,"January 3, 1926","March 8, 2016","Signed Beatles to a production contract in 1962, producer of most Beatles records, the real ""fifth Beatle,"" also produced '60s comedy albums, Shirley Bassey's ""Goldfinger"" and Elton John's 1997 version of ""Candle in the Wind.""  twitter  IMDb  Obituary"
"Sylvia Anderson (TV executive, writer, puppet voice)",,"March 27, 1927","March 15, 2016","Wrote and produced many of the Anderson puppet TV shows, voiced Lady Penelope on Thunderbirds, married to frequent collaborator Gerry Anderson from 1962-1975, she later went to work for the BBC and HBO, wrote several books including My Fab Years, reportedly argued against casting the stars of Space: 1999.  Home Page  twitter  IMDb  Obituary"
Joe Garagiola (sportscaster/baseball player),,"February 12, 1926","March 23, 2016","Pro baseball catcher, spent many years at NBC, doing baseball play-by-play and as a host of the Today show.  twitter  IMDb  Obituary"
Ken Howard (actor),,"March 28, 1944","March 23, 2016","Played Thomas Jefferson in the Broadway and filmed versions of 1776, starred in The White Shadow, the father in Crossing Jordan, helped to unite the Screen Actors Guild and American Federation of Television and Radio Artists and was president of SAG/AFTRA at his death.  twitter  IBDB  IMDb  Obituary"
Garry Shandling (comic/actor/writer),,"November 29, 1949","March 24, 2016","Comic whose satiric show about a late night talk show host (The Larry Sanders Show) made network executives offer him late night talk show gigs, his last TV appearance was probably two months before he died on Jerry Seinfeld's Comedians in Cars Getting Coffee and the name of the episode was ""It's Great that Garry Shandling Is Still Alive,"" Conan O'Brien gave a touching and funny tribute to Shandling the night he died.  twitter  IMDb  Obituary"
"Earl Hamner, Jr. (TV/movie writer)",Cancer. ,"July 10, 1923","March 24, 2016","Best-known for the biographical show The Waltons, he also wrote for Falcon Crest and Twilight Zone.  Home Page  twitter  IMDb  Obituary"
Patty Duke (actress/writer/mental health advocate),Sepsis from a ruptured intestine. ,"December 14, 1946","March 29, 2016","Won an Oscar for The Miracle Worker (also originated the role on Broadway and later played Annie Sullivan in a made-for-TV movie), active on TV, starred in The Patty Duke Show as identical cousins (died 5 weeks before her TV dad William Schallert), ex-wife of John Astin, wrote Call Me Anna and A Brilliant Madness (both unsparing looks at her lifelong battle with mental illness), mother of Sean Astin and Mackenzie Astin, make memorial contribution to the Patty Duke Mental Health Project.  Home Page  IBDB  IMDb  Obituary  FindAGrave"
Merle Haggard (singer/songwriter),Pneumonia. ,"April 6, 1937","April 6, 2016","Active musician for over 50 years, his hits included ""Okee from Muskogee,"" ""Workin' Man Blues,"" ""Mama Tried"" and ""I'm a Lonesome Fugitive"" named to the Country Music Hall of Fame and as a Kennedy Center Honoree.  twitter  IMDb  Obituary"
Anne Jackson (actress),,"September 3, 1925","April 12, 2016","Co-starred with her husband Eli Wallach on Broadway many times, appeared in some movies including The Shining.  twitter  IBDB  IMDb  Obituary"
Gareth Thomas (actor),,"February 12, 1945","April 11, 2016","The star of Blake 7, he appeared in many other TV shows (Merlin) and many plays.  twitter  IMDb  Obituary"
Doris Roberts (actress),,"November 4, 1925","April 17, 2016","Played the mother in Everybody Loves Raymond, did lots of supporting roles on TV for over 50 years.  twitter  IMDb  Obituary"
Prince (enigmatic singer/songwriter/style maven),Fentanyl overdose. ,"June 7, 1958","April 21, 2016","We can't all party like it's 1999 as Prince has left the room decades too early. Might have been America's David Bowie. Wrote/performed classics like ""Purple Rain (which was the last song he performed in public),"" ""Little Red Corvette,"" ""When Doves Cry"" and, of course, ""1999."" Supported female musicians more than most superstars, much of his work made many cogent comments on racism. A former girlfriend, Vanity, also died in 2016.  Home Page  twitter  IMDb  Obituary"
William Schallert (actor),,"July 6, 1922","May 9, 2016","Versatile actor who acted professionally from 1947-2014, probably best-known as Patty's dad on The Patty Duke Show (and died only 5 weeks after Patty Duke), appeared in Twilight Zone and two versions of Star Trek and was president of the Screen Actors Guild from 1979-1981.  twitter  IMDb  Obituary"
Morley Safer (journalist),,"November 8, 1931","May 19, 2016","Award-winning journalist who was active on 60 Minutes for 46 years, gave his last broadcast two months before his death. In 1967 he provided the first look inside China in nearly 20 years by a US news show (CBS News Special Report)  twitter  IMDb  Obituary"
Alan Young (cartoon voice/actor),,"November 19, 1919","May 19, 2016","Friend of Mr. Ed, The Time Machine, voiced Scrooge McDuck into his mid-90s.  Home Page  twitter  IMDb  Obituary"
Burt Kwouk (actor),,"July 18, 1930","May 24, 2016","A bit part actor for 50 years, may be best-known for playing Cato in several Peter Sellers' Pink Panther movies.  Home Page  twitter  IMDb  Obituary"
Dave Swarbrick (folk fiddler),Emphysema. ,"April 5, 1941","June 3, 2016","Violinist for the Fairport Convention, toured after a double lung transplant in 2004.  Home Page  twitter  IMDb  Obituary"
"Muhammad ""The Greatest"" Ali (boxer/humanitarian)",Septic shock/Parkinson's Disease. ,"January 17, 1942","June 3, 2016","King of the World (especially in heavyweight boxing), wordsmith (especially with Howard Cosell), after he converted to Islam, he lost several years as a pro boxer when he refused to be drafted to go to Vietnam, lit the Olympic Torch at the 1996 Olympics, make memorial contribution to Muhammad Ali Center.  Home Page  twitter  IMDb  Obituary"
Theresa Saldana (actress/activist),Pneumonia. ,"August 20, 1954","June 6, 2016","Co-starred in Raging Bull, her career was interupted by a 1982 knife attack by a stalker, she later starred in a movie about the attack and was in The Comish.  twitter  IMDb  Obituary"
Peter Shaffer (playwright),,"May 15, 1926","June 6, 2016","Wrote Amadeus and Equus, twin brother of Anthony Shaffer.  Home Page  twitter  IMDb  Obituary"
Margaret Heldt (style maven/beautician),,"February 2, 1918","June 10, 2016",Invented the beehive hairdo which became a huge fad in the early '60s.  Home Page  twitter  Obituary
Gordie Howe (hockey star),,"March 31, 1928","June 10, 2016","Played 32 years of professional hockey, even after he was elected to the Hockey Hall of Fame, set many scoring records, known as ""Mr. Hockey.""  twitter  IMDb  Obituary  FindAGrave"
Janet Waldo (cartoon voice/actress/radio star),Brain cancer. ,"February 2, 1920","June 12, 2016","Had over a 60 year career, starting by starring in ""Meet Corliss Archer"" on the radio, many bit parts on TV, but her career took off as a cartoon voice after originating Judy Jetson on The Jetsons.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Ronnie Claire Edwards (actress),,"February 9, 1933","June 14, 2016","Busy in TV for decades, best-known as Corabeth in The Waltons.  twitter  IMDb  Obituary"
Ann Morgan Guilbert (actress),Cancer. ,"October 16, 1928","June 14, 2016","Millie on The Dick Van Dyke Show, Fran's grandmother Yetta on The Nanny.  twitter  IMDb  Obituary"
Jo Cox (Member of Parliament/humanitarian),Assassinated. ,"June 22, 1974","June 16, 2016","Longtime Oxfam employee who spoke out passionately about the refugee crisis, was elected to Parliament and killed about a year later.  Home Page  twitter  Obituary"
Anton Yelchin (actor),Freak car accident. ,"in Russia, his figure skater parents (Irina Korina and Viktor Yelchin) immigrated to to California when he was six months old, been working on TV since he was about 10, probably best-known as Chekov in the '00s Star Trek reboot and as the young Kyle Reese in Terminator Salvation, appeared in many productions that were released after his death","June 19, 2016 March 11, 1989", Home Page  twitter  IMDb  Obituary
Alvin Toffler (writer),,"October 4, 1928","June 27, 2016","Writer best-known for Future Shock, he was a columnist for Fortune and interviewed Vladimir Nabokov for Playboy.  Home Page  twitter  IMDb  Obituary"
