date,name,age,comments
2006-2-1,"Roy Alon,",63,"British film stuntman, heart attack. [1]"
2006-2-1,"Dick Bass,",68,American pro football player and radio analyst. [2]
2006-2-1,"Dick Brooks,",63,"American NASCAR race car driver and radio broadcaster, heart attack. [3]"
2006-2-1,"Ronald B. Cameron,",78,"American politician, U.S. Representative from California (1963–1967). [4]"
2006-2-1,"Robin Donkin,",75,British historian and geographer. [5]
2006-2-1,"Ernest Dudley,",97,"British novelist, journalist, screenwriter, actor, radio broadcaster. [6]"
2006-2-1,"Carlson Gracie, Sr.,",72,"Brazilian martial artist, complications from kidney stones. [7]"
2006-2-1,"Samuel Pearson Goddard, Jr.,",86,"American politician, governor of Arizona 1965-1967. [8]"
2006-2-1,"John Woollam,",78,former British Conservative Member of Parliament. (Who's Who 2007)
2006-2-2,"Armando Castillo,",73,Guatemalan Olympic cyclist. [10]
2006-2-2,"Jill Chaifetz,",41,"American lawyer and executive director of the nonprofit legal group Advocates for Children of New York, ovarian cancer. [11]"
2006-2-2,"Mizanur Rahman Chowdhury,",77,"Bangladesh politician, former prime minister of Bangladesh. [12]"
2006-2-2,"Chris Doty,",39,"Canadian documentarian and playwright, suicide. [13]"
2006-2-2,"Guglielmo Letteri,",80,Italian comic book artist. [14]
2006-2-2,"Pat Rupp,",63,"goaltender for the 1964 and 1968 USA Olympic ice hockey teams, cancer. [15]"
2006-2-2,"Athol Shephard,",85,Australian cricketer. [17]
2006-2-2,"Nicholas Swarbrick,",107,last remaining English merchant sailor of World War I. [18]
2006-2-2,"Sir Reginald Swartz,",94,"Australian politician, Minister for Civil Aviation from 1966-1969. [19]"
2006-2-2,"Chris Walton,",72,English cricketer. [20]
2006-2-2,"Stephen Worobetz,",91,"Canadian politician, former lieutenant governor of Saskatchewan. [21]"
2006-2-3,"Ustad Qawwal Bahauddin, 71 or",72,Indian-Pakistani Qawwali singer.
2006-2-3,"Walerian Borowczyk,",82,"Polish-born surrealist filmmaker [22], heart failure [23]"
2006-2-3,"Jean Byron,",80,"American actress, infection following hip replacement surgery. [24]"
2006-2-3,"Ernie Clements,",83,British road racing cyclist. [25]
2006-2-3,"Kurt Emmerich,",76,German radio reporter.
